beta,sigma,gamma,rho,phi,R0
9.10293282978054,3.505255318273616,7.879913553495063,0.3131036778978778,21.63918449902169,1.155207194594542
6.005171226295483,4.156966621525261,5.159735090626186,0.29397874396302126,7.69049279406034,1.1638526243731429
5.3985095616287,3.712511928600108,4.520584209742926,0.26940447800835926,7.408430234658628,1.1942061714044918
5.102859335539563,4.079634505532579,4.274541187958608,0.2716718668801174,8.95042935577036,1.1937794282844505
4.7210950340038345,4.203209313774643,3.9230131728132522,0.2658031260106761,7.4460479957848715,1.2034359371315253
5.078732321112179,4.449133790252232,4.309080892726292,0.2869188932178128,6.975956135869634,1.1786115061532159
5.117011351447759,4.944152417857418,4.385444351576029,0.3028260474941387,14.039176605908782,1.1668170751291875
4.769560894985801,4.244903501824608,3.993561158868545,0.30785420673799807,14.76799227461331,1.1943127212147446
9.5518486771144,2.8090734602222214,8.01383644265226,0.2972998949847881,14.65952059006614,1.1919195937511697
8.221496327772407,3.5419233205024896,7.087542825070483,0.3129425593489097,5.982370763308642,1.1599924728060669
8.82394394338321,3.4823610403569907,7.623858081112481,0.3062769000995236,6.260035824938646,1.1574118837867469
9.20754517280044,2.645559007469272,7.615380511055731,0.31583695914197174,7.174174233028613,1.2090722399797702
8.987503083524201,2.9003362682551685,7.521019710240301,0.31318996455815845,6.6398596429153205,1.1949846470003527
9.080993691662142,3.4029304604671586,7.87511962111942,0.32053468424366677,6.824106911840584,1.1531245401414374
9.315348365788664,3.393353686951668,8.024147399739038,0.31023464106358084,6.5078861764996665,1.1609144126753728
9.305557332396068,3.6158719492440023,8.080133444275484,0.31541398796807557,6.923504450501907,1.1516588675882276
9.352904442778422,3.6385423944682445,8.131707916164903,0.3264781764102276,23.562548352105836,1.150177126281912
9.398365168464743,3.0020740134715296,7.951926656295468,0.3131911392949917,22.654888073461432,1.1818978688673067
7.167314722025421,3.9042704938151322,6.181309935952038,0.3054519923594669,10.110696550084574,1.159513888850409
6.245482144792378,3.9534585818595445,5.344709212083283,0.3129615154082552,8.110322753982619,1.1685354426154062
7.587363926785489,3.4651737021442233,6.485886431078409,0.29814160476480206,8.62975864882377,1.1698268243534349
5.952952015938109,4.820979037082974,5.15601395064885,0.3263453101145021,20.01982334510488,1.1545647612510765
5.4474196505869505,4.2048407285956335,4.615327149380569,0.2988406453072155,14.022118988468643,1.1802889533666228
5.8832845689776585,3.9578399150305557,4.9765366257335755,0.29372427011606533,16.889248028752313,1.182204615666909
5.615175783054459,4.209433489166871,4.764420293105735,0.29860351873290963,23.30291661453239,1.1785643242221502
8.17235532014183,3.3056326769627407,6.968576978236589,0.3026369906768261,16.698487337596717,1.1727437819320552
7.443968875838236,3.827659008992212,6.426075373834241,0.3255833069077534,15.362040356841492,1.1584004921804472
5.029241943477607,4.8317629831953255,4.290231149476192,0.2892895401328115,14.228652358437714,1.1722543071115512
6.621308784743349,4.341301124259157,5.7333074612589945,0.326127014062341,16.19809996490647,1.1548846506985264
5.41463543255779,3.6709089074285632,4.498356106570703,0.27959729279176715,18.91922590913144,1.2036920386646774
5.853407024570978,4.198770632217435,5.011829126274364,0.3398812231907835,11.892884551423728,1.1679183142706655
6.205736395596573,4.402710213305888,5.351982996486988,0.33419854062546533,11.710127461252393,1.1595209475945616
5.867265187524324,4.19139955349531,5.006315216880786,0.2987409424794515,9.68092894331251,1.1719727850416815
9.955502872016506,2.7180649793414027,8.330452581104343,0.29384098827622324,19.877936019034642,1.1950734699094507
9.975645004547774,2.7873370466275547,8.399688293334489,0.28395758485117323,21.313398830769934,1.1876208564148594
6.822797946867612,3.7968094232185328,5.841457476665026,0.32560564990373664,12.836249108232833,1.1679958253779583
6.397938846316611,4.388929537448056,5.527760225747308,0.33111474471237734,14.552850042900614,1.157419747787932
8.000742879000056,3.8387370910091385,6.933791807028379,0.33287532812600956,10.23610160190719,1.153876998569552
8.137184652145917,4.015612083258087,7.1262679960946596,0.32947866555495187,10.399923813159202,1.1418577938137129
8.552046625099479,4.252458777511305,7.564767916942889,0.3331066456809325,10.697344976223025,1.1305101120082444
9.508052722738915,2.93514924726718,8.009317839435017,0.2861193792127698,17.20218439452833,1.1871239115926533
9.448009550561771,3.020244288526375,8.019436455709018,0.2864772521799099,16.461099590438607,1.1781388384012639
9.339011648333726,3.196491256221474,7.974266347915458,0.2910149895824078,14.89516817900366,1.171143681546958
8.059924878534718,2.7702030736275827,6.649062858299013,0.27399557610103764,6.319952216755841,1.2121896048064489
8.886234920678268,2.805526059453154,7.463053092425588,0.29290699516032825,7.89487145335712,1.1906969990200256
8.686207523343429,3.097574470015257,7.403294339355547,0.2620781453857209,9.426929707691304,1.173289501292415
8.576581453002387,3.2169646882606475,7.312197103860945,0.25154526969010843,9.391752228299062,1.1729144238294436
8.072570470840017,2.947379600060648,6.731877962188632,0.296060676678053,18.747857474302133,1.1991557951854948
8.4170031289903,3.3646648443151927,7.207941373312716,0.30140527390769783,17.3404156114486,1.1677402316497907
4.99554649280855,4.806973305067173,4.252821051044624,0.31223186948566445,13.116788847744427,1.174643003514453
6.898704430787902,4.632153603131356,6.067053280870117,0.33195659621308427,14.402769673585391,1.1370766188159322
7.777471063294303,3.726173087825514,6.736818651476455,0.2999456777771154,8.665144194312061,1.1544723801626717
6.574407849859806,4.33179361972657,5.734046922786336,0.330369929287928,7.777430893199052,1.1465563394212885
5.443945857434734,3.8562019960763463,4.582746253078063,0.31816845805212635,8.449081740772302,1.187922166490941
8.606960009472372,3.622567997270035,7.44735508758365,0.30646645254396115,10.010839192203775,1.1557069467282464
8.71907998499634,3.1861621038550787,7.417016036613932,0.29321908540587904,11.871768691635154,1.1755509145395937
9.195347040952223,3.036911999943105,7.804770637474509,0.3016707963189799,11.334492248546146,1.1781700536849704
5.266749901270448,4.231818299802343,4.444717370006551,0.28660428424839585,16.473141006975975,1.184945962326213
5.369060721145729,5.5683181450358665,4.688480051800995,0.35270351388434046,11.441456183162067,1.1451601930317057
5.440098681641207,4.840398314891498,4.690501180995549,0.3248147473542911,12.14923164530274,1.1598118136464382
5.120143416834825,4.70529716859903,4.3730303313682555,0.3262308265986147,12.490113975101723,1.1708456216522076
6.324390752141055,4.41354412679875,5.464137431575576,0.31823692881533416,12.912943606901893,1.157436252535366
5.350671332526647,3.9705886869022833,4.511441148075928,0.30566950450442454,12.088085361858314,1.1860226382003543
5.777423357047309,4.051083612736598,4.897137950674678,0.2936569904364896,11.031993386024698,1.1797550763811653
6.259936486843779,3.3091268071666353,5.2306626895189625,0.27951893917861725,10.525225264095859,1.1967769398296784
7.469771879986349,3.154020774833401,6.274094156775333,0.28712557271898775,11.156738822458056,1.1905737614600214
9.194290028562767,3.410970528047013,7.917683470008078,0.33469626015964943,10.939682338073688,1.1612348565575312
9.13836180152598,3.268407110409602,7.830113687613534,0.338211078671423,11.470811988083641,1.1670790701266527
9.114801899087876,3.2899324213642305,7.8338942060831505,0.33778641798843423,11.480923862213693,1.1635084236917674
9.595111026842073,2.5738446548058596,7.944710981171026,0.27067794254048244,8.760367129180143,1.2077356935428485
9.837523007925924,2.9522416033342007,8.348527467545711,0.28419830413500263,7.824385149229691,1.1783542721957343
7.550834408362806,3.605993463666214,6.498260453538221,0.3207145059221853,12.45059778018434,1.1619778034983919
8.884097840609444,3.2308598746290063,7.60957933184097,0.30530955356293227,12.727311553645032,1.1674886946030605
6.554766038228382,4.867667846840104,5.724460015382452,0.3491438195757437,13.284044142225076,1.1450453004501346
7.45717803471761,4.003449960660674,6.473933132443709,0.3412733732914733,19.015868626208405,1.1518775189917287
6.437160397421587,3.862865673266814,5.507816705598942,0.31223243604267026,8.785895328738937,1.1687317754924424
6.748893078342398,3.925331240756381,5.783724637336823,0.31428223069676253,8.943984854168736,1.166876623893007
8.018535664830528,3.2278662094769293,6.791485832755077,0.3103980629584635,21.99893793574382,1.1806747245436982
7.31987194131661,3.2914918374961704,6.185985706235432,0.30144549449744845,9.473297115612308,1.183299200633171
5.6452083966975675,4.276994063575951,4.817003482804033,0.30318725877972247,10.99065351429166,1.1719336340216693
5.280371088412327,3.760790943603655,4.375739595213206,0.2803082232877314,13.294486448814668,1.2067379636093365
9.149616113607536,3.3039176872210807,7.870760152130966,0.3245257187444534,9.549615772527448,1.1624818869788995
7.552465430819452,3.831475583644013,6.5098778773033485,0.32455192366751684,10.683658371923183,1.1601547023103274
7.568193701765624,3.824892858458895,6.51991867453834,0.32486745757360025,10.647421009680956,1.1607803838598507
7.740849023880636,3.9571068114826566,6.749000582916435,0.3197650670161223,10.379308510574957,1.146962269269148
5.0505420536725625,4.366263119576495,4.284766557332271,0.324364719715006,9.261753260852906,1.1787204707873442
5.697286625134807,4.230878331850202,4.835217718402629,0.3326385457058301,8.860831214934032,1.178289573900919
5.71540077034036,4.292049887400821,4.913571707498208,0.3324943730558819,8.761425614172964,1.1631866004150393
8.408269532055424,3.4438939313067554,7.194205041346049,0.34053358269875983,15.886450163522778,1.1687558922399328
8.355596666564761,3.4344643953462324,7.2044434729023274,0.3405684965798458,15.863108238884317,1.1597837776078335
7.933007701512976,3.5602825263634545,6.805871320794338,0.3333139722618949,19.04345142757501,1.1656123555076392
7.178301897161247,4.266999107724475,6.246602260371069,0.32792102010285895,18.68210773898839,1.1491530271906303
7.943416118357582,3.6616761032457146,6.855274865163827,0.34466848308197384,13.527994304146112,1.1587305067406295
7.175176519194532,4.752173593362035,6.353776951109251,0.3501198829927724,12.496003755242487,1.1292773690996314
9.061598530199078,2.8769641114756017,7.613715840221005,0.2674483746132895,9.570022053133549,1.1901676816370448
9.183581895514545,2.771458615699148,7.710908203110156,0.27176313910768385,9.53663412879456,1.1909857637535346
9.923187681109116,3.1018618454694793,8.509622385121338,0.3144841521184538,14.15078128289217,1.1661137512352286
9.238018913051832,3.4152768112683796,7.94738532151162,0.3034276498241882,8.368025754796196,1.1623972588879998
8.481898527234407,3.7203998209860556,7.380781369513684,0.3381357002794156,12.51849506935709,1.149187071475777
7.744955846522002,3.4698502252647194,6.621133746478441,0.30875726031571776,19.132450926489064,1.1697325779956165
7.786519025096937,3.2115195100068235,6.570299784666851,0.292430454122778,16.552332859590116,1.1851086373970918
7.7395474412495275,3.2066329088816037,6.565699478988098,0.29243402262802737,16.54460980916094,1.1787849057085298
7.056985188584974,3.6490622522461784,6.05119748560473,0.31566416567671784,16.091342452735788,1.1662130025293218
7.3961595947323735,3.6329229580575646,6.353755671127445,0.2989579393619511,19.695742944795544,1.1640610652282068
7.383444384263306,3.6328498429613507,6.320368202797369,0.298648148017309,19.7289314376688,1.1681984573296575
9.536151039427729,2.790692829804212,7.992792581560662,0.3040210000682437,15.36473183408178,1.1930937706838018
7.836936581549438,3.907621614537823,6.83919324173774,0.32401159464849394,11.124587455509497,1.1458861161756244
8.892957065185737,2.819395210897844,7.471729395978195,0.29663572121049286,7.60789604131395,1.1902140179183343
8.183543146720137,3.3018265463960623,7.013517667985996,0.3035241892710216,10.904990168491542,1.166824343235757
8.335809923480056,3.3695852047028967,7.128329717787932,0.3034043155797953,10.894585716916362,1.1693917444193127
7.625258445198858,3.104679457551151,6.422560897804115,0.2895028533571532,9.747503718053458,1.1872613691846732
9.279385219380949,3.0165381798340123,7.889135756634384,0.2991684366508235,7.69721803465661,1.1762232905648038
9.120248281890206,2.862578785865388,7.705240332144426,0.29812319279602834,7.506670085583738,1.1836422861260671
8.792984632909576,3.96267944022677,7.681282301730037,0.3509073261233087,10.070034555874795,1.144728742872678
8.184452936222925,3.723717685576066,7.112090594147501,0.32366934225687105,11.273992742269554,1.1507801859214033
9.522282519360791,2.8501940314190457,7.986809428834953,0.2805423024719114,15.913391666062404,1.192251124082451
7.986264654303768,2.7968391967147266,6.652099834269406,0.2731228060756169,11.379126166847527,1.200562958054416
9.22167792434432,2.8270261020089533,7.753660165422582,0.27971835263162714,15.104629013454899,1.1893322285993855
8.87042322919177,3.3346945518807667,7.605230065194298,0.3235292178129293,16.91781309984072,1.166358302530214
9.630575760598788,3.3274884055688654,8.30273643592833,0.3204969730277252,8.058190878887306,1.1599279147203223
6.118280442249968,3.3874905315946515,5.125675744870665,0.2880431427357424,10.529185804483596,1.1936534316226726
7.168685874983211,3.746553874679343,6.1282789907035315,0.346301287876606,18.45631658914875,1.1697714620789874
9.448706522021793,3.3327797497868037,8.153111042308854,0.31375178662328895,13.203760646912663,1.158908111638578
8.886680896594836,3.7017785353713406,7.727161544425007,0.3609280559930383,11.030851239937293,1.1500576046590354
9.459800279554099,3.3909949504582126,8.161639981673627,0.3213036239231187,16.759567117809375,1.1590563049577531
9.469938405727893,3.414548470451461,8.205149759836301,0.3044730214489652,15.622127139498268,1.1541457112803295
9.798615036560898,3.406759235707891,8.468598159101594,0.3212949202236706,14.589259023406864,1.1570527792760923
9.809464418411887,3.473815992328,8.530079274203585,0.3312500578497987,13.858886553707215,1.149985141178861
9.59893573343464,3.1444362816100777,8.196104825864605,0.32663199355446926,12.49268484239817,1.171158243748066
9.601977715848285,3.4314630133246506,8.31536949220972,0.3115624282180713,15.400867132382473,1.154726524761639
9.946977664416146,2.5296265708054597,8.22188450913273,0.2860301577020619,12.63097487324371,1.2098172448624414
9.99467402603664,3.1071947888859355,8.541122144887353,0.29002367547247926,11.606080896895163,1.170182776512495
6.047540288369976,4.151874246423909,5.173241255052358,0.3171527914108052,14.127929285601203,1.1690041098438524
6.1480874563457215,4.07884262126163,5.2600733329335965,0.30666374641557514,15.87860021589096,1.1688216241876748
6.588280799189074,4.8971396365079745,5.777606507638805,0.3414536311741608,9.179661208354474,1.1403131712896064
8.166855211264693,3.6973426250533485,7.078491628108248,0.3451301164965934,6.026000755402811,1.1537564272640546
8.161830131666413,3.44756751098079,7.003413865186769,0.33697496517289055,6.469564330582774,1.1654073697169334
7.537527300887359,4.723594439549379,6.671734494956853,0.3725100704472533,12.318644416737174,1.129770272870564
