q,rho_0-4,rho_5-9,rho_10-19,rho_20-29,rho_30-49,rho_50+,seed,phi
0.27886276007899236,0.05919521440157116,0.019944503062922517,0.004087573424589408,0.007515988223140194,0.00919105037414467,0.020923782418753565,129.58315466223277,5.1532270412375105
0.28231906292649195,0.06264683556627411,0.01753825124139898,0.0057155506547152245,0.007504275132986708,0.009205967821128452,0.025270618577199234,117.75674535557715,6.0184556762437955
0.27756277494048504,0.06930661240721171,0.019663669208351782,0.0038753244191323845,0.006809817249990265,0.009086232629044923,0.02159938566856733,143.18176673228956,4.668362095559473
0.27734156338697646,0.06465466387736366,0.02074017813523565,0.004491311168914115,0.006892275361187028,0.008904379080166294,0.024600525090731403,148.18759383732657,4.971399565240205
0.2796016451574259,0.06126573037114273,0.016762469564876724,0.004799130985296995,0.007423557402421419,0.0093887741799475,0.023164452696188168,130.28962497790772,6.190111299188145
0.2843643242545843,0.054703735649088446,0.019119319279310678,0.005064529812555332,0.007333001806360807,0.008195605438198958,0.02262651011859964,124.75323506171586,5.900890519010946
0.2781409530558255,0.055017359589662966,0.01661359349878294,0.004289142071730125,0.0069153652472287285,0.009455947972221924,0.029785556766399095,149.8845192338601,5.340754913459711
0.2766544134110777,0.0655093317041225,0.020551670834634814,0.004983437570244287,0.00820839605071582,0.00913595239541964,0.021058763814240617,155.901487493676,6.074834707570849
0.2767708233394326,0.05292543728623695,0.016130557266070822,0.004394890958991548,0.0070482871181099605,0.009642198920263249,0.027871077990947516,155.7966293087561,5.474968294739697
0.2804915984484198,0.06296334549812749,0.02062109644291324,0.005037402695157174,0.007836498273027351,0.008702734472274444,0.02123586623351872,128.7963154751512,6.774527196788994
0.2804211422753728,0.06334556350831144,0.01950874786493543,0.004942001995721121,0.006448045974091666,0.00952798596463409,0.02749617410227488,137.4165704304134,5.022848242910921
0.27987228298567285,0.05695424362221304,0.017515737621052786,0.004843299474305767,0.00855382505174471,0.009346442352999054,0.021875668196216252,135.915457983498,6.524668334912248
0.27987228298567285,0.05695424362221304,0.017515737621052786,0.004843299474305767,0.00855382505174471,0.009346442352999054,0.021875668196216252,135.915457983498,6.524668334912248
0.2831341402850606,0.056554112692519164,0.017730661838365074,0.004482677666853669,0.007113963629373006,0.009488379830794334,0.02483990131511073,122.5666964905446,6.193427096241808
0.2851042913220527,0.05735294576121413,0.01809894997835243,0.004527979827667748,0.0068458152593175526,0.00983851086927533,0.024433748959727632,116.14600502673923,4.606405282135423
0.2800413490452242,0.06124914494549703,0.017064374043352815,0.005209616118368959,0.007228045733561338,0.00996611326146148,0.022093174203747443,145.10327607512036,6.241927992092962
0.27631943558181016,0.06014726518805825,0.01989515871350731,0.004328126412240292,0.007138301226773737,0.008795634147481331,0.026271021816465557,159.17161534824825,4.657596026413691
0.27822994261234624,0.05845163101902822,0.01736900322481299,0.005098100384297288,0.007962134177734548,0.00947379717597174,0.02355675975117005,139.4803442341071,6.947034125578145
0.27962717353835015,0.06317114525755776,0.01900135137265307,0.004873885090654697,0.007822396574760561,0.009040256517873105,0.023092234065307072,140.06500601424577,7.698756876454029
0.2818169511761107,0.05176503709258043,0.016289692009413912,0.004667468588897151,0.006833625183221428,0.008974262214933259,0.024237015780028844,135.65931675183478,6.010490417066132
0.27678351459883355,0.0635439008343915,0.019982552582469157,0.004658954478090009,0.007945003305745971,0.009229075569748876,0.023429723989125892,143.68205457629787,5.657422266784123
0.2766907109134327,0.05545477307394434,0.016141151418408637,0.004071392385762425,0.007487796267808702,0.009775481498211704,0.021866772458981023,150.14281170633728,7.622295132554044
0.28334728770769585,0.056178795324487295,0.0193253040733444,0.004870500651390221,0.006913789961139988,0.008218221552037148,0.024448434170031053,131.02481759978562,5.116621490614027
0.28190889179761963,0.06637943294353679,0.017356188201645223,0.004506252820578747,0.006752594592647939,0.009609919717427147,0.022670841556329063,143.65083120492883,6.340708779010811
0.2793132514037782,0.06349803690376041,0.017879973555544673,0.004561270594828976,0.006389905202867539,0.008280966768437866,0.02584873939281173,151.73655059216614,3.748103937956147
0.27963482959369856,0.06510701487377651,0.016568767451690888,0.004653361725597681,0.006630523151831452,0.008209310276298225,0.027378684382802335,136.3028253847182,4.479353867100103
0.2811045858849112,0.06679404557110089,0.0174544043797676,0.004499890991295025,0.0072032811362094905,0.008530167592491703,0.02720961167024103,127.80908009824739,4.220051706674164
0.2796809577280754,0.05245600381347791,0.018579002679138458,0.004892236585313688,0.007424298665310935,0.009174089464020898,0.024887475931684663,137.72565478473715,7.390590610649919
0.2804579756304793,0.06023424799420515,0.016265346875036116,0.0043862761918646714,0.006960938801528737,0.008946739913228061,0.022907941539597555,129.16564183924936,5.752536740381631
0.275199978821738,0.06148829540416571,0.019436511169931538,0.004834265688399474,0.007743450422836611,0.009320905067266651,0.02448767944644386,158.35433661360972,6.373788291191829
0.27839257681095797,0.05947661937407661,0.017114955584255562,0.004411246100660186,0.0072599986929772825,0.009176328060080476,0.024716259094025247,143.98458790128922,5.276137334270762
