beta,phi
1.1151576458928323,2.014871493518707
1.1180319112447734,2.0161954236531954
1.1552881195277203,2.0147805771504976
1.142922728192575,2.0097223836055194
1.1057180365642567,2.0145647033603336
1.1103702465594403,2.0144207755707604
1.1234486836938342,2.0768280705085838
1.1644301834868818,2.0645729154525116
1.1311306142881523,2.0083976894308875
1.166389176721131,2.007760596869414
1.1608450144525462,2.008870422329741
1.1422831857320292,2.002703710467444
1.12132727388599,2.065677124544302
1.1336748387779085,2.0084082792026283
1.1592577788175547,2.0616818026039176
1.1592577788175547,2.0616818026039176
1.1354966225150207,2.009436345149985
1.1377335884443514,2.0132503907345987
1.1534344483542065,2.000619445557337
1.127079011280274,2.0387841444772454
1.1391674073105609,2.0605943105031397
1.1311327098908994,2.00663119801065
1.1662521091365627,2.054248293386931
1.1662521091365627,2.054248293386931
1.1251269667216515,2.006308764462299
1.1245561169151463,2.0209848568610136
1.1618692108087687,2.0198487039543576
1.169796666758611,2.0134823444469676
1.1266574599391055,2.0055170906003896
1.1378201113873925,2.0092755588543785
1.1461618418912198,2.0042750829800005
1.1510586477532225,2.0237666054068746
1.148097457324653,2.0045286115838437
1.1569230254000944,2.0042987999778568
1.1236444676279222,2.010071157443891
1.1286566957954238,2.013542730909338
1.1500069467364271,2.042560722723585
1.1436532280969134,2.004783840819223
1.1723341671180696,2.0016819583320564
1.1550335785555823,2.020729358483542
1.1508834963601922,2.0108132711685496
1.1403367973093494,2.0041670208156654
1.1263687652624321,2.0019101004563558
1.1510915285714851,2.003998705404583
1.1382867050299497,2.0122383230039875
1.120092217056261,2.006229096909539
1.1833360518673026,2.014208233078917
1.1287422351707779,2.0389744595759294
1.1287422351707779,2.0389744595759294
1.1192059142283044,2.0408260723144833
1.1493745702814555,2.0083067699500377
1.128878117352744,2.0314381541733026
1.1286059549301741,2.0161147568113162
1.180703626116555,2.015205868984916
1.1341757116944928,2.0094031811939717
1.150914539147845,2.016340584573274
1.1358778217826728,2.00985456100123
1.153515925042873,2.0117380144940356
1.1611890785691894,2.044321068752362
1.1611890785691894,2.044321068752362
1.1181684853133806,2.003585401918348
1.1575633313197347,2.009591695160655
1.1435534711714215,2.0008924947135163
1.1366674004115334,2.0070854037458967
1.1520176787195502,2.0349547218076345
1.158859710723745,2.064194107991912
1.1692425351151778,2.023732514819562
1.1657987758914088,2.022862860929386
1.157678259735018,2.0117719598218047
1.1689604648508043,2.0303517093384347
1.1294386446212386,2.025786953448376
1.163651045214375,2.0170865575801544
1.1310644906012506,2.011595257650912
1.154337938288847,2.0136686117909175
1.129197593085088,2.006350330764931
1.1568689298282977,2.067449140904332
1.1127197452004942,2.0049595225451053
1.149564441072831,2.0031028251238627
1.1275024267971612,2.0036571287629243
1.1195802607978396,2.008691611698727
1.149858023069026,2.031113195201247
1.164834294704661,2.012916891415845
1.170104262415648,2.003696954558788
1.1094708763638599,2.0020363366709666
1.1021202464175939,2.031682927789916
1.099137364645952,2.0231774957094957
1.1581529286633534,2.020104563651682
1.1375380704135585,2.022744517615735
1.152027196528548,2.0178251686383826
1.153827305169887,2.0184306730918165
1.153827305169887,2.0184306730918165
1.1603386917673812,2.018978058522529
1.1295905566093927,2.0161170323363944
1.1593693737994237,2.005751847469052
1.1469154601736313,2.0648121844247154
1.1621655782373024,2.0789467329468514
1.1525018313832998,2.035901784965988
1.1469931919340635,2.0095245735246916
1.1465262745321658,2.093413590885385
1.1356409652826533,2.0029964321113307
1.15891640602013,2.000415412009677
1.1375714070666099,2.0013268085537845
1.1629632811098958,2.000765776983964
1.1285455577549603,2.000482487790643
1.121977977429674,2.0012494214812313
1.1608526285310052,2.0014772880261837
1.1519284636204614,2.0014366719032664
1.1401466413189463,2.0092634746024425
1.1477140889616877,2.0187905648101436
1.1628947892228387,2.030806451472022
1.1271517716945025,2.0142282482450553
1.1261174797537958,2.019095168846451
1.119949798517318,2.004031890823345
1.1337418365675995,2.109804103707663
1.1619891822058068,2.016348367792084
1.1761068252437423,2.006302508243836
1.1560939797172651,2.000480649921031
1.1789886921702635,2.0778274848840144
1.1010143014961487,2.0042936990408
1.1336162747051732,2.0577640381537496
1.160863344866295,2.0057799143026025
1.1369098681730345,2.010043688158814
1.1403071829845568,2.0052931323809693
1.131754080332636,2.060416155068855
1.1537061009413203,2.0089820123147364
1.1877268963797047,2.0082644099186697
1.1735454259754563,2.008401574975199
1.1675595588768952,2.0064870619096493
1.1197676736213498,2.0140272032912794
1.1708444888686298,2.0101384284851247
1.1464335266510381,2.0145279002531034
1.1074600233461633,2.0335499953667413
1.1300732854952338,2.001945869864222
1.1344066442228502,2.0102840591143365
1.1319380185443297,2.0077669277148535
1.1485838851692258,2.0140646403424105
