beta0,beta1,q,t_int,phi
0.8082502330154772,0.06760089434593992,0.17397803606404683,23.499461133938556,12.691471320571953
0.8082502330154772,0.06760089434593992,0.17397803606404683,23.499461133938556,12.691471320571953
0.8039429624563934,0.08513064198522957,0.3448872489576448,26.241117857124692,13.532331455185265
0.8167707164129447,0.08136015046774206,0.22625588283041678,24.219244666128798,10.28287475229586
0.8167068195051792,0.08331574048441373,0.19587916501562777,23.45229785836738,9.176509699691442
0.8124919027886617,0.07554261777056413,0.22696222908410862,24.412659922538555,15.086377156227869
0.8073483348500409,0.07605520612438023,0.2195490983716263,24.46776042723741,14.35299773932338
0.798401471893164,0.07647890748160462,0.19713980830023506,24.18540945393448,16.69481864026707
0.8180126121460769,0.08382232930874144,0.27775431001486983,25.062244218159638,7.901112280312729
0.8144726951222706,0.09090924489328348,0.29264454778821253,25.10299968715514,8.103058935667429
0.8141850669109039,0.08912228395494756,0.27922341921658506,24.755457545971552,8.481137762372377
0.8187263416434867,0.08921349753859752,0.4191268188636458,26.363432823843656,10.109110644825886
0.8058127393536327,0.06070901022170202,0.19375116550835103,24.582904917451902,13.218827562269032
0.806647138774727,0.09070874630628714,0.29295812293702794,25.17445876247223,8.938330397822437
0.8128412406716117,0.08155674926512259,0.21857980305912536,24.015548168413694,11.053607903745093
0.8118637664897925,0.081996840954194,0.3192933598928768,26.12993372846471,13.300620175975281
0.7944771252981578,0.08724868051970293,0.33305029678226244,26.01480064066769,7.805710891049176
0.8082299184519591,0.08016146010610385,0.44482832582435416,26.728971633955823,7.2174404102252865
0.8216204099626981,0.08990385476607855,0.4860175794525603,26.997614821461063,7.515998284432409
0.8005408454078298,0.08598620299325745,0.21351200501545037,24.33940038981224,11.561670776419952
0.7998402289350005,0.08484970310022184,0.2275384641645354,24.594391974371607,11.509300511699184
0.8017040418601463,0.08820417750719864,0.23360184517230725,24.675791417457162,11.127859808812858
0.8140103113284264,0.08004987134887262,0.2630120536887059,24.941479732960605,15.25146598616005
0.7967211212725951,0.08198078352081584,0.3501567279513261,26.69310382585161,10.734905621355244
0.8065467995292934,0.08383870371815129,0.38608533329779654,26.714874808525302,10.32921445364419
0.7917647202647043,0.08351168232882852,0.25755245617532846,25.536046444017206,10.370463809203429
0.7860198566161307,0.0845657914799875,0.26582973377817004,25.76554762841154,16.463882091315902
0.7919013952014476,0.08839164801459211,0.2880119250150287,25.812161078845218,14.165640912150055
0.7964481232852076,0.08065472233928749,0.2572384437109225,25.35825353447486,12.359750229713626
0.8302297306211388,0.07497617567534696,0.17071738670056352,22.413665975377352,11.409491012903215
0.8024168299312641,0.09014693227476513,0.3638048854337158,26.166457818588967,14.018353852712101
0.7888581604182744,0.08189077705176606,0.27762995299905846,25.752208591838464,9.961470112580157
0.7910924271823188,0.08234810429271873,0.260733465273342,25.538935634926535,11.478945287696568
0.7924623670551043,0.09108891827656268,0.4119908600863438,26.946153705150447,11.723188748717902
0.7922038517734308,0.09119845250048156,0.41319204211581834,27.20909005394339,11.653660719781818
0.8064214541350553,0.08576646408615696,0.2782862090716313,25.784425987285367,7.300878096829987
0.8092469847762503,0.08446013308000988,0.25572485818957996,25.415908647607882,8.502710483708496
0.8102093456229231,0.08480822585572924,0.27221263006023283,25.148431947072794,8.850415730549518
0.8084249378936779,0.08965082466534095,0.22191886015269055,23.95900455134188,11.720066715236445
0.8118192858407755,0.06434779208816033,0.16790829567914553,23.301396627258963,11.498521545884818
0.821166938880276,0.08628920565647175,0.23366986569978312,23.98084227789453,17.117923275097
0.8192124997858986,0.08543582030538126,0.22506864795947462,24.030526883655625,17.43353521535066
0.7896526742632974,0.07674177998487214,0.31011210983067133,26.56168696849783,10.274912289079719
0.8318658724836904,0.07858153013828616,0.19234592401834893,22.91154731757413,14.96474294368279
0.8363977991305233,0.07699286551491359,0.20203506918577926,23.135143836868814,14.946755954395293
0.8278298860868711,0.07608107607534176,0.1879551564459359,23.072611561563818,14.690261716784093
0.8129757420040705,0.08829567510077879,0.21252680120517206,23.599029874131524,13.68434446873304
0.8098254632752876,0.08938868684966761,0.23306563246660403,24.27776533523154,12.445110752960229
0.8066071126027281,0.08372275519323602,0.2307726702207689,24.58929780728122,12.779022436062316
0.8044313608820243,0.08226700267991327,0.22689709675884742,24.756937211578045,12.506811158871061
0.8045297720725767,0.07832838438951492,0.21001259968742036,24.19798283567305,11.007296129144377
