draw,q,seed,averted_total,rel_reduction,factual_total,counter_total,S0_0-4,rho_0-4,averted_0-4,S0_5-9,rho_5-9,averted_5-9,S0_10-19,rho_10-19,averted_10-19,S0_20-29,rho_20-29,averted_20-29,S0_30-49,rho_30-49,averted_30-49,S0_50+,rho_50+,averted_50+
21,0.31465979636598557,69.10501151952842,9326.854614124431,56.99857260111261,7036.457989150074,16363.31260327451,0.3587621062602405,0.05805733046537507,5269.557655482278,0.290009630723454,0.01179864030997581,543.8526554545964,0.40355055367587295,0.004064938618545205,571.1588568332935,0.4088341929327139,0.006566000460787441,1062.1387631893444,0.3007545107598061,0.008259891875136162,1738.971027693136,0.022516659360547364,0.021038129992473877,141.175655471783
22,0.3054080876358128,43.62095519258066,7525.095920964913,51.51114854317085,7083.578383119422,14608.674304084336,0.382209329851942,0.03860765000728753,3566.7304939959777,0.2774390098463235,0.013440147189093738,558.3037214349781,0.45843268655073655,0.003734206836161695,518.775020908336,0.4135316874336792,0.006627623050934261,1028.8191409065478,0.2698032010431108,0.009133853905550007,1710.6870814901674,0.025126034762751326,0.02063646826963093,141.78046222890612
23,0.3162165084984295,40.30444527978487,9566.8099001938,57.07772921233985,7194.210610281438,16761.020510475242,0.35231351075169265,0.06147414228832032,5540.05213249847,0.24331324184085468,0.014159356858245105,555.7557992094181,0.4387993721114666,0.0038366815766577127,541.5164129619811,0.38136193212401087,0.006839392260820525,1044.8748697578696,0.3027642765371355,0.008099330096189104,1718.6626063765307,0.0280974903460545,0.020170971451682194,165.9480793895336
24,0.3183802626879164,42.5305155082435,9749.162151777682,56.49129870112218,7508.64989350287,17257.812045280556,0.36465071086944584,0.0569036926860134,5121.6311441827875,0.23711958156670698,0.01590345033380381,616.3858284669483,0.4345369039217749,0.003955184441441275,564.3450000284599,0.37489671491524884,0.009414416096949497,1415.6137172265485,0.28190467510146594,0.009288155425855137,1853.7623200583516,0.02596186345971669,0.023385254190042996,177.42414181458693
25,0.3173218232595113,62.659584298468594,7371.655213341267,49.90942073906549,7398.4124495985025,14770.06766293977,0.47409650453151897,0.027089043394572746,2995.0337914150055,0.26511385121565123,0.0135923166920937,577.869172787068,0.4128759922449297,0.00421975847482988,583.915797749124,0.4062036280204693,0.0070739778957312595,1130.4928275179414,0.27729229218385454,0.009819283919946836,1941.3627856888174,0.020361562930786205,0.023769381082882412,142.98083818331122
26,0.31780785358596453,46.35034296633244,8197.959438477592,51.45351887132032,7734.7884440915295,15932.747882569121,0.46475933349463944,0.03099527519402305,3303.442415597458,0.24469421045819453,0.01529879431940434,607.722405080739,0.4343399031654638,0.004075630087172676,575.441834377318,0.35711679193678714,0.009368751200881502,1343.6373783248791,0.2734421878026668,0.011408372664258308,2209.117670196727,0.025099077566487986,0.021741980889430988,158.5977349004705
27,0.30064667694353914,44.238570601221674,7081.322410469636,48.938573910409644,7388.495249998354,14469.817660467992,0.4141670958795616,0.03329392282290837,3499.00245399329,0.3032432547006465,0.011208193530781856,503.7446036999966,0.44945924398447457,0.003735415577048876,515.6889783638106,0.4373706860651776,0.005929954919733204,989.2412465310674,0.3360015971254068,0.006444890470954306,1474.3779129182647,0.01400023220391936,0.024935298212402285,99.26721496320734
28,0.3095476073717129,41.77891230887109,7356.234566815104,50.14101758197838,7314.856929858221,14671.09149667332,0.4280049940224306,0.0337443742874526,3590.5223517671907,0.27654903308846607,0.01311823327309073,563.3116937024241,0.44240769835780963,0.003810496227477261,530.2524358435392,0.3998314156887092,0.005968337674295014,944.5330936391423,0.3213951959404389,0.007168874731549067,1601.848549116681,0.019364459607682315,0.022256475434047934,125.76644274612667
29,0.2922787112009503,48.201865525418455,5923.3103966122535,44.251585340674644,7462.222236876778,13385.532633489034,0.4811082523143621,0.02186986850751981,2542.32860287567,0.3052329688754619,0.011239769813381454,494.91583400288715,0.45730487316759727,0.003605467483876676,490.2589457538844,0.4809629840643289,0.00481153726972543,844.5360624125742,0.33687196651660667,0.0062069180036043595,1410.261181308541,0.02713556982009703,0.018714483194385147,141.0097702586961
30,0.3171047943189262,44.39666955078178,10648.888224696893,58.0407089299551,7698.386336591155,18347.27456128805,0.3563138366025284,0.06232060541658192,5599.495438862541,0.25388280739803243,0.014701791236208541,615.5835994625138,0.42655768533371546,0.004323287748706561,628.8707440634873,0.4018363403236496,0.007022086215220593,1139.042465552422,0.27188134799740876,0.01238974504338915,2458.732598778571,0.03438548116266872,0.020107015883508415,207.16337797735798
